hotel_id,facility_swimming,facility_gym,airport_shuttle,facility_wifi,facility_parking,trust_rating_value,d37_hotel_category_name
17984,NO,NO,NO,YES,YES,8.3,3-star
20704,NO,NO,NO,YES,YES,6.3,2-star
21529,YES,NO,NO,YES,YES,7.4,3-star
21624,NO,NO,NO,YES,YES,7.4,3-star
22617,NO,NO,NO,NO,NO,8.4,3-star
26640,NO,NO,YES,YES,NO,,2-star
27477,NO,NO,NO,YES,NO,8.2,3-star
29279,NO,NO,NO,YES,YES,,3-star
29294,YES,NO,YES,YES,YES,8.7,4-star
29296,YES,NO,NO,YES,YES,7.4,3-star
29305,NO,NO,NO,YES,YES,6.7,3-star
29335,NO,NO,NO,YES,YES,,2-star
29372,NO,NO,NO,NO,NO,9.3,3-star
30225,NO,NO,NO,YES,YES,,3-star
30405,YES,NO,NO,YES,YES,8.0,3-star
30408,NO,NO,NO,NO,NO,,3-star
30962,NO,NO,YES,YES,YES,8.7,4-star
31062,YES,NO,YES,YES,YES,8.8,4-star
33874,NO,NO,YES,YES,YES,,2-star
34649,YES,NO,NO,YES,YES,8.4,3-star
35409,NO,NO,NO,YES,NO,,3-star
35801,NO,NO,NO,YES,NO,8.5,3-star
37004,YES,NO,YES,YES,YES,9.2,4-star
38263,NO,NO,YES,YES,YES,8.3,3-star
38276,NO,NO,NO,YES,NO,8.0,3-star
38442,NO,NO,NO,YES,NO,7.8,3-star
38658,NO,NO,NO,YES,YES,8.9,4-star
38693,NO,NO,NO,YES,NO,7.1,3-star
38730,YES,NO,NO,YES,YES,8.9,4-star
38742,YES,NO,NO,YES,YES,9.3,4-star
38750,NO,NO,NO,YES,NO,7.5,4-star
38752,YES,NO,NO,YES,YES,7.3,3-star
39815,NO,NO,NO,NO,NO,7.2,4-star
39990,NO,NO,NO,YES,YES,,3-star
41144,NO,NO,NO,YES,YES,7.4,3-star
42733,YES,NO,NO,YES,YES,8.0,2-star
42988,NO,NO,YES,YES,YES,,3-star
45417,NO,NO,NO,YES,YES,8.3,4-star
47632,YES,NO,NO,YES,YES,7.5,3-star
47633,YES,NO,NO,YES,YES,8.4,4-star
47641,NO,NO,NO,YES,YES,7.8,3-star
47642,NO,NO,NO,YES,YES,,3-star
47643,YES,NO,NO,YES,YES,7.5,3-star
47645,YES,NO,NO,YES,YES,8.2,3-star
47649,NO,NO,NO,YES,YES,7.0,2-star
47650,YES,NO,NO,YES,YES,6.7,3-star
47651,NO,NO,NO,YES,YES,,3-star
47652,NO,NO,NO,YES,YES,7.5,3-star
47678,NO,NO,NO,YES,YES,,2-star
47679,NO,NO,NO,YES,YES,,2-star
47681,NO,NO,NO,YES,YES,,3-star
56489,YES,NO,YES,YES,YES,8.8,4-star
161151,NO,YES,NO,YES,NO,8.5,4-star
227956,YES,YES,NO,YES,YES,9.2,4-star
300542,NO,NO,NO,NO,NO,,3-star
330041,NO,NO,NO,NO,NO,,4-star
365434,NO,NO,NO,NO,NO,,
380436,NO,NO,NO,NO,NO,,
382304,NO,NO,NO,NO,NO,,4-star
382473,NO,NO,NO,NO,NO,,1-star
382474,NO,NO,NO,NO,NO,,4-star
382475,NO,NO,NO,NO,NO,,4-star
382480,NO,NO,NO,NO,NO,,3-star
382481,NO,NO,NO,NO,NO,,3-star
382487,NO,NO,NO,NO,NO,,3-star
382489,NO,NO,NO,NO,NO,,3-star
382490,NO,NO,NO,NO,NO,,3-star
382492,NO,NO,NO,NO,NO,,
382493,NO,NO,NO,NO,NO,,2-star
382497,NO,NO,NO,NO,NO,,4-star
382869,NO,NO,NO,NO,NO,,1-star
382887,NO,NO,NO,NO,NO,,1-star
565582,NO,NO,NO,NO,NO,,2-star
565583,NO,NO,NO,NO,NO,,2-star
565584,NO,NO,NO,NO,NO,,4-star
565585,NO,NO,NO,NO,NO,,2-star
565586,NO,NO,NO,NO,NO,,3-star
565587,NO,NO,NO,NO,NO,,2-star
565588,NO,NO,NO,NO,NO,,3-star
565589,NO,NO,NO,NO,NO,,4-star
565590,NO,NO,NO,NO,NO,,3-star
565591,NO,NO,NO,NO,NO,,2-star
565592,NO,NO,NO,NO,NO,,3-star
565593,NO,NO,NO,NO,NO,,4-star
565594,NO,NO,NO,NO,NO,,4-star
565595,NO,NO,NO,NO,NO,,2-star
565596,NO,NO,NO,NO,NO,,4-star
565597,NO,NO,NO,NO,NO,,3-star
565598,NO,NO,NO,NO,NO,,2-star
565599,NO,NO,NO,NO,NO,,4-star
565600,NO,NO,NO,NO,NO,,4-star
565601,NO,NO,NO,NO,NO,,4-star
565602,NO,NO,NO,NO,NO,,4-star
565603,NO,NO,NO,NO,NO,,4-star
565604,NO,NO,NO,NO,NO,,4-star
565605,NO,NO,NO,NO,NO,,4-star
565606,NO,NO,NO,NO,NO,,4-star
565607,NO,NO,NO,NO,NO,,4-star
565608,NO,NO,NO,NO,NO,,3-star
565609,NO,NO,NO,NO,NO,,4-star
565610,NO,NO,NO,NO,NO,,4-star
565611,NO,NO,NO,NO,NO,,4-star
565612,NO,NO,NO,NO,NO,,4-star
565613,NO,NO,NO,NO,NO,,4-star
565614,NO,NO,NO,NO,NO,,4-star
565615,NO,NO,NO,NO,NO,,4-star
565616,NO,NO,NO,NO,NO,,4-star
565617,NO,NO,NO,NO,NO,,2-star
565618,NO,NO,NO,NO,NO,,4-star
565619,NO,NO,NO,NO,NO,,3-star
565620,NO,NO,NO,NO,NO,,4-star
565621,NO,NO,NO,NO,NO,,3-star
565622,NO,NO,NO,NO,NO,,4-star
565623,NO,NO,NO,NO,NO,,4-star
565624,NO,NO,NO,NO,NO,,4-star
565625,NO,NO,NO,NO,NO,,4-star
565626,NO,NO,NO,NO,NO,,3-star
565627,NO,NO,NO,NO,NO,,2-star
565628,NO,NO,NO,NO,NO,,4-star
565629,NO,NO,NO,NO,NO,,3-star
565630,NO,NO,NO,NO,NO,,3-star
565631,NO,NO,NO,NO,NO,,4-star
565632,NO,NO,NO,NO,NO,,4-star
565633,NO,NO,NO,NO,NO,,4-star
565634,NO,NO,NO,NO,NO,,4-star
565635,NO,NO,NO,NO,NO,,4-star
565636,NO,NO,NO,NO,NO,,4-star
565637,NO,NO,NO,NO,NO,,4-star
565638,NO,NO,NO,NO,NO,,3-star
565639,NO,NO,NO,NO,NO,,4-star
565640,NO,NO,NO,NO,NO,,2-star
565641,NO,NO,NO,NO,NO,,4-star
565642,NO,NO,NO,NO,NO,,3-star
565643,NO,NO,NO,NO,NO,,2-star
565644,NO,NO,NO,NO,NO,,4-star
565645,NO,NO,NO,NO,NO,,2-star
565646,NO,NO,NO,NO,NO,,4-star
565647,NO,NO,NO,NO,NO,,4-star
565648,NO,NO,NO,NO,NO,,3-star
565649,NO,NO,NO,NO,NO,,2-star
